ID,Component
3-oxo-myristoyl-ACPs[c],0
RXN0-743,0
CPD0-2113[c],0
R-3-hydroxyhexanoyl-ACPs[c],0
CPD0-1163[c],0
DTMPKI-RXN,0
RXN-22713,0
ALLANTOICASE-RXN,0
RXN-14197,0
GLYC3PDEHYDROG-RXN,0
CPD-679[c],0
DOPAQUINONE[c],0
RXN-11213,0
THZ-P[c],0
RXN-9540,0
RIBONUCLEOSIDE-DIP-REDUCTII-RXN,0
CPD-10473[c],0
RXN-14262,0
CPD-3745[p],0
RXN-14304,0
RXN-7682,0
RXN-2006,0
RXN-3641,0
O-PHOSPHO-L-HOMOSERINE[c],0
FRUCTURONATE[c],0
SHIKIMATE-5-DEHYDROGENASE-RXN,0
CPD0-1718[c],0
RXN-17776,0
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR[c],0
RXN-19301,0
CPD-294[c],0
UDP-OHMYR-GLUCOSAMINE[c],0
RXN-10817,0
LYS[c],0
CPD-654[c],0
GDP-TP[c],0
CPD-19144[c],0
ECTOINE[p],0
MALYL-COA-LYASE-RXN,0
RXN-18840,0
CPD-13757[c],0
CPD-9867[c],0
CPD-19148[c],0
2-METHYL-BUTYRYL-COA[c],0
CPD-16937[c],0
RXN-12717,0
THMPT[c],0
CATECHOL[c],0
PROPIONYL-P[c],0
SPERMIDINESYN-RXN,0
25-DICHLOROHYDROQUINONE[c],0
HYDROXYMETHYLBILANE[c],0
CPD-15658[c],0
UDP-NACMURALGLDAPLIG-RXN,0
RXN-16561,0
SoxY-Thiocysteine-Sulfate[c],0
CPD-15873[c],0
ORNDECARBOX-RXN,0
CPD-17312[c],0
RXN-1122,0
RXN0-2144,0
MG+2[p],0
RXN-19303,0
IMP-DEHYDROG-RXN,0
CARNITINE[c],0
PYRIDOXAMINE-5P[c],0
ASPCARBTRANS-RXN,0
THREO-DS-ISO-CITRATE[c],0
Cis-vaccenoyl-ACPs[c],0
CPD-7672[c],0
RXN-21546,0
CPD0-1068[c],0
GLU6PDEHYDROG-RXN,0
RXN-18206,0
3-KETOBUTYRATE[c],0
CPD-3[c],0
2-DEHYDROPANTOATE-REDUCT-RXN,0
CPD-7695[c],0
ADIPATE[c],0
RXN-16320,0
CPD-21418[c],0
CLtpp,0
ACETYLORNDEACET-RXN,0
THYMIDINEtpp,0
DEOXYCYTIDINE-KINASE-RXN-DEOXYCYTIDINE/UTP//DCMP/UDP/PROTON.35.,0
CPD-3707[c],0
RXN-9892,0
GTP[c],0
KDO-8PSYNTH-RXN,0
RXN-7706,0
RXN-11291,0
KDPGALDOL-RXN,0
CPD-13695[c],0
TRANS-RXN1G48-18-FE+3/PROTON//FE+3/PROTON.25.,0
CPD-11519[c],0
5Z8Z11Z14Z17Z-EICOSAPENTAENOATE[c],0
DURIDKI-RXN,0
RXN-12718,0
CPD-10782[c],0
RXN0-2361,0
RXN-10701,0
P-PANTOCYSLIG-RXN,0
HEXANOYL-COA[c],0
RXN2DNV-3,0
CPD-335[c],0
CPD-7037[c],0
CIT[p],0
RXN-22603,0
RXN-19323,0
CPD-9647[c],0
RXN-17777,0
EX_isethionate,0
3-Oxo-octanoyl-ACPs[c],0
RXN-18202,0
RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70.,0
1.1.1.262-RXN,0
PHOSGLYPHOS-RXN,0
RXN-8960,0
RXN-9635,0
DEOXY-D-RIBOSE-1-PHOSPHATE[c],0
4-AMINO-4-DEOXYCHORISMATE[c],0
RXN-8976,0
RXN-9530,0
CPD-15654[c],0
5-HYDROXY-FERULIC-ACID[c],0
RXN-15378,0
SUC[e],0
