source	ec_number	kcat_value	kcat_value_end	kcat_unit	substrate	organism	uniprot_id	bigg_reaction_ids	bigg_match_basis	substrate_mnx	product_mnx	pH	temperature_C	buffer	cellular_location	sabiork_entry_id	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id	parameter.name	param_type	substrate_from_param	parameter.standardDeviation	Product
SABIO-RK	3.2.1.23	0.031		1/s	3-Methylpyridyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30170	10446				kcat	kcat		-	3-Methylpyridine;beta-D-Galactose
SABIO-RK	3.2.1.23	0.029		1/s	H2O;3,5-Dimethylpyridyl-beta-D-galactopyranoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30171	11152				kcat	kcat		-	beta-D-Galactose;3,5-Dimethylpyridine
SABIO-RK	3.2.1.23	186.0		1/s	3,4-Dinitrophenyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM36070	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30172	9872				kcat	kcat		-	3,4-Dinitrophenol;beta-D-Galactose
SABIO-RK	3.2.1.23	147.0		1/s	3,5-Dinitrophenyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM36122	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30173	9931				kcat	kcat		-	beta-D-Galactose;3,5-Dinitrophenol
SABIO-RK	3.2.1.23	66.0		1/s	p-Nitrophenyl-beta-D-galactoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00	MNXM166459	MNXM112;MNXM526	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30174	7239				kcat	kcat		-	p-Nitrophenol;beta-D-Galactose
SABIO-RK	3.2.1.23	1.76		1/s	p-Nitrophenyl-beta-D-galactoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00	MNXM166459	MNXM112;MNXM526	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30175	7239				kcat	kcat		-	beta-D-Galactose;p-Nitrophenol
SABIO-RK	3.2.1.23	157.0		1/s	o-Nitrophenyl-beta-D-galactoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00	MNXM165991	MNXM112;MNXM3468	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30176	7242				kcat	kcat		-	beta-D-Galactose;o-Nitrophenol
SABIO-RK	3.2.1.23	34.0		1/s	4-Cyanophenyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM37403	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30177	10427				kcat	kcat		-	beta-D-Galactose;4-Cyanophenol
SABIO-RK	3.2.1.23	51.0		1/s	H2O;m-Nitrophenyl-beta-D-galactoside	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM14595	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30178	9879				kcat	kcat		-	beta-D-Galactose;3-Nitrophenol
SABIO-RK	3.2.1.23	16.0		1/s	4-Bromophenyl-beta-D-galactopyranoside;H2O	Escherichia coli		LACZ;LACZpp	ec:1.00=1.00		MNXM112;MNXM6869	7.5	25.0	[ 0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl,  0.125 M potassium phosphate, 5 mM MgCl2, 25 ÂµM 2,2'-bipyridyl]	[unknown, unknown, unknown, unknown, unknown]	30179	9913				kcat	kcat		-	beta-D-Galactose;4-Bromophenol
