source	sabiork_entry_id	organism	uniprot_id	ec_number	parameter.name	param_type	substrate_from_param	kcat_value	kcat_value_end	parameter.standardDeviation	kcat_unit	substrate	Product	pH	temperature_C	buffer	cellular_location	sabiork_reaction_id	kegg_reaction_id	reactome_reaction_id	pubmed_id
SABIO-RK	75515	Escherichia coli	P00547	2.7.1.39	kcat	kcat		13.6		1.4E0	1/s	ATP;L-Homoserine isopropyl ester	O-Phospho-L-homoserine isopropyl ester;ADP	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16434			8973190
SABIO-RK	75516	Escherichia coli	P00547	2.7.1.39	kcat	kcat		14.0		4E-1	1/s	L-Homoserine n-propyl ester;ATP	ADP;O-Phospho-L-homoserine n-propyl ester	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16435			8973190
SABIO-RK	75517	Escherichia coli	P00547	2.7.1.39	kcat	kcat		16.4		8E-1	1/s	ATP;L-Homoserine isobutyl ester	O-Phospho-L-homoserine isobutyl ester;ADP	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16436			8973190
SABIO-RK	75518	Escherichia coli	P00547	2.7.1.39	kcat	kcat		29.1		1.2E0	1/s	ATP;L-Homoserine n-butyl ester	ADP;O-Phospho-L-homoserine n-butyl ester	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	16437			8973190
SABIO-RK	75519	Escherichia coli	P00547	2.7.1.39	kcat	kcat		0.016		2E-3	1/s	L-Homoserine;ATP	ADP;O-Phospho-L-homoserine	8.0	30.0	[100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase, 100 mM Hepes/Tris, 100 mM KCl, 10 mM Mg(OAc)2, 0.7 mM PEP, 0.1 mM NADH, 20 U pyruvate kinase, 20 U lactate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	1866	R01771		8973190
SABIO-RK	75551	Escherichia coli	P0A9T0	1.1.1.95	kcat	kcat		0.55		-	1/s	Glycerate 3-phosphate;NAD+	3-Phosphohydroxypyruvate;NADH;H+	8.8	37.0	[40 mM Tris-HCl, 1.0 mM DTT, 40 mM Tris-HCl, 1.0 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown]	1684	R01513	R-SCE-977348;R-HSA-977348;R-XTR-977348;R-GGA-977348;R-CFA-977348;R-SPO-977348;R-OSA-977348;R-DME-977348;R-MMU-977348;R-SSC-977348;R-DRE-977348;R-ATH-977348;R-RNO-977348;R-BTA-977348;R-DDI-977348;R-CEL-977348	8550422
SABIO-RK	75552	Escherichia coli	P0A9T0	1.1.1.399	kcat	kcat		0.71		-	1/s	NAD+;(R)-2-Hydroxyglutarate	2-Oxoglutarate;NADH;H+	8.8	37.0	[40 mM Tris-HCl, 1.0 mM DTT, 40 mM Tris-HCl, 1.0 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown]	15201	R11337		8550422
SABIO-RK	75553	Escherichia coli	P0A9T0	1.1.1.399	kcat	kcat		0.25		-	1/s	NAD+;(S)-2-Hydroxyglutarate	2-Oxoglutarate;NADH;H+	8.8	37.0	[40 mM Tris-HCl, 1.0 mM DTT, 40 mM Tris-HCl, 1.0 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown]	9820			8550422
SABIO-RK	75554	Escherichia coli	P0A9T0	1.1.1.95	kcat	kcat		27.8		-	1/s	H+;NADH;3-Phosphohydroxypyruvate	NAD+;Glycerate 3-phosphate	7.5	37.0	[40 mM KPO4, 1.0 mM DTT, 40 mM KPO4, 1.0 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown]	1684	R01513	R-GGA-977348;R-XTR-977348;R-DME-977348;R-RNO-977348;R-BTA-977348;R-DDI-977348;R-CFA-977348;R-DRE-977348;R-OSA-977348;R-MMU-977348;R-HSA-977348;R-ATH-977348;R-SPO-977348;R-CEL-977348;R-SSC-977348;R-SCE-977348	8550422
SABIO-RK	75555	Escherichia coli	P0A9T0	1.1.1.399	kcat	kcat		33.3		-	1/s	NADH;H+;2-Oxoglutarate	NAD+;2-Hydroxyglutarate	7.5	37.0	[40 mM KPO4, 1.0 mM DTT, 40 mM KPO4, 1.0 mM DTT]	[unknown, unknown, unknown, unknown, unknown, unknown]	9739	R08198		8550422
SABIO-RK	75743	Escherichia coli	P0A9D8	2.3.1.117	kcat	kcat		43.33333		-	1/s	2,3,4,5-Tetrahydrodipicolinate;Succinyl-CoA;H2O	Coenzyme A;N-Succinyl-2-L-amino-6-oxoheptanedioate	7.4	-	[Phosphate, 0.5 mM Ellman's reagent]	[unknown, unknown, unknown, unknown, unknown, unknown]	4061	R04365		6365916
SABIO-RK	75744	Escherichia coli	P0A9D8	2.3.1.117	kcat	kcat		43.33333		-	1/s	2,3,4,5-Tetrahydrodipicolinate;H2O;Succinyl-CoA	N-Succinyl-2-L-amino-6-oxoheptanedioate;Coenzyme A	7.4	-	[Phosphate, 0.5 mM Ellman's reagent]	[unknown, unknown, unknown, unknown, unknown, unknown]	4061	R04365		6365916
SABIO-RK	75745	Escherichia coli	P09126	4.2.1.75	kcat	kcat		500.0		-	1/s	Hydroxymethylbilane	Uroporphyrinogen III;H2O	-	-	[-]	[unknown, unknown, unknown, unknown]	2995	R03165		2557837
SABIO-RK	75752	Escherichia coli	P08192	6.3.2.12	kcat	kcat		0.4166667		-	1/s	ATP;Dihydropteroate;L-Glutamate	ADP;Dihydrofolate;Phosphate	9.6	30.0	[200 mM Tris, 10 mM MgCl2, 200 mM KCl, 5 mM dithiothreitol, 10 mM beta-mercaptoethanol, 50 Âµg/ml bovine serum albumin, 200 mM Tris, 10 mM MgCl2, 200 mM KCl, 5 mM dithiothreitol, 10 mM beta-mercaptoethanol, 50 Âµg/ml bovine serum albumin]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	2208	R02237		2985605
SABIO-RK	75760	Escherichia coli	P0ABH7	2.3.3.16	kcat	kcat		58.0		4E0	1/s	H2O;Acetyl-CoA;Oxaloacetate	Citrate;Coenzyme A	7.8	21.0	[20 mM Tris-Cl, 20 mM Tris-Cl]	[unknown, unknown, unknown, unknown, unknown, unknown]	267	R00351	R-BTA-70975;R-HSA-70975;R-GGA-70975;R-SSC-70975;R-MMU-70975;R-ATH-70975;R-DRE-70975;R-SCE-70975;R-DDI-70975;R-SPO-70975;R-PFA-70975;R-DME-70975;R-CFA-70975;R-RNO-70975;R-CEL-70975;R-OSA-70975;R-XTR-70975;R-GGA-373006	1524432
SABIO-RK	75761	Escherichia coli	P0ABH7	2.3.3.16	kcat	kcat		81.0		6E0	1/s	Acetyl-CoA;Oxaloacetate;H2O	Coenzyme A;Citrate	7.8	21.0	[20 mM Tris-Cl, 20 mM Tris-Cl]	[unknown, unknown, unknown, unknown, unknown, unknown, unknown]	267	R00351	R-DME-70975;R-HSA-70975;R-DDI-70975;R-SCE-70975;R-SSC-70975;R-GGA-70975;R-PFA-70975;R-DRE-70975;R-CEL-70975;R-XTR-70975;R-BTA-70975;R-RNO-70975;R-OSA-70975;R-ATH-70975;R-SPO-70975;R-GGA-373006;R-CFA-70975;R-MMU-70975	1524432
SABIO-RK	75811	Escherichia coli	P09147 P09148	5.1.3.2	kcat	kcat		160.0		2E1	1/s	UDP-D-galactose	UDP-D-glucose	8.5	27.0	[0.125 M potassium bicinate, 0.25 mM NAD+, 200 U UDP-glucose dehydrogenase, 0.125 M potassium bicinate, 0.25 mM NAD+, 200 U UDP-glucose dehydrogenase]	[unknown, unknown, unknown]	8974	R00291		7873670
SABIO-RK	75812	Escherichia coli	P09147 P09148	2.7.7.12	kcat	kcat		24.0		3E0	1/s	alpha-D-Galactose 1-phosphate;UDP-D-glucose	alpha-D-Glucose 1-phosphate;UDP-D-galactose	8.5	27.0	[0.1 M sodium bicinate, 0.326 mM NADP+, 3.3 ÂµM glucose 1,6-bisphosphate, phosphoglucomutase, glucose 6-phosphate dehydrogenase, 0.1 M sodium bicinate, 0.326 mM NADP+, 3.3 ÂµM glucose 1,6-bisphosphate, phosphoglucomutase, glucose 6-phosphate dehydrogenase]	[unknown, unknown, unknown, unknown, unknown]	8526	R00955		7873670
